[2026-04-06 09:11:56] User: bima | Score: 1.66 | Thresh: 4.73 | Status: MATCH
[2026-04-06 09:12:00] User: bima | Score: 1.86 | Thresh: 4.77 | Status: MATCH
[2026-04-06 09:12:03] User: bima | Score: 1.89 | Thresh: 4.75 | Status: MATCH
[2026-04-06 09:12:10] User: bima | Score: 1.66 | Thresh: 4.74 | Status: MATCH
[2026-04-06 09:12:13] User: bima | Score: 1.47 | Thresh: 4.72 | Status: MATCH
[2026-04-06 09:12:20] User: bima | Score: 1.98 | Thresh: 4.38 | Status: MATCH
[2026-04-06 09:12:24] User: bima | Score: 6.97 | Thresh: 4.39 | Status: REJECT
[2026-04-06 09:12:28] User: bima | Score: 1.17 | Thresh: 4.39 | Status: MATCH
[2026-04-06 09:12:32] User: bima | Score: 2.76 | Thresh: 4.42 | Status: MATCH
[2026-04-06 09:12:36] User: bima | Score: 1.44 | Thresh: 4.43 | Status: MATCH
[2026-04-06 09:18:15] User: bima | Score: 1.72 | Thresh: 4.47 | Status: MATCH
[2026-04-06 09:18:20] User: bima | Score: 4.04 | Thresh: 4.48 | Status: MATCH
[2026-04-06 09:27:59] User: bima | Score: 9997.00 | Thresh: 0.00 | Status: REJECT
[2026-04-06 09:28:06] User: bima | Score: 9997.00 | Thresh: 0.00 | Status: REJECT
[2026-04-06 09:30:20] User: bima | Score: 9997.00 | Thresh: 0.00 | Status: REJECT
[2026-04-06 09:45:02] User: bima | Score: 64.37 | Thresh: 4.45 | Status: REJECT
[2026-04-06 09:45:13] User: bima | Score: 5.93 | Thresh: 4.45 | Status: REJECT
[2026-04-06 09:45:17] User: bima | Score: 7.38 | Thresh: 4.45 | Status: REJECT
[2026-04-06 09:45:31] User: bima | Score: 1.81 | Thresh: 4.45 | Status: MATCH
[2026-04-06 09:45:36] User: bima | Score: 9.06 | Thresh: 4.12 | Status: REJECT
[2026-04-06 09:45:41] User: bima | Score: 6.34 | Thresh: 4.12 | Status: REJECT
[2026-04-06 09:45:44] User: bima | Score: 6.87 | Thresh: 4.12 | Status: REJECT
[2026-04-06 09:45:48] User: bima | Score: 6.26 | Thresh: 4.12 | Status: REJECT
[2026-04-06 09:45:54] User: bima | Score: 7.86 | Thresh: 4.12 | Status: REJECT
[2026-04-06 09:46:00] User: bima | Score: 2.88 | Thresh: 4.12 | Status: MATCH
[2026-04-06 09:46:05] User: bima | Score: 8.91 | Thresh: 4.12 | Status: REJECT
[2026-04-06 09:46:09] User: bima | Score: 2.27 | Thresh: 4.12 | Status: MATCH
[2026-04-06 09:46:17] User: bima | Score: 7.03 | Thresh: 4.12 | Status: REJECT
[2026-04-06 09:46:51] User: bima | Score: 2.09 | Thresh: 4.12 | Status: MATCH
